Run,TiO2 (kg),Kaolin (kg),PVA (l),Viscosity (cP),PBR,Cost(20L)
1,0.75,0.1,1.4,,,12358
2,0.625,0.175,1.3,,,10839
3,0.625,0.175,1.3,,,10839
4,0.75,0.25,1.4,,,12370
5,0.414776,0.175,1.3,,,8946.984
6,0.75,0.1,1.2,,,11558
7,0.625,0.175,1.3,,,10839
8,0.625,0.175,1.46818,,,11511.72
9,0.625,0.0488655,1.3,,,10828.90924
10,0.5,0.25,1.4,,,10120
11,0.625,0.175,1.3,,,10839
12,0.5,0.25,1.2,,,9320
13,0.625,0.301134,1.3,,,10849.09072
14,0.75,0.25,1.2,,,11570
15,0.5,0.1,1.2,,,9308
16,0.5,0.1,1.4,,,10108
17,0.625,0.175,1.13182,,,10166.28
18,0.835224,0.175,1.3,,,12731.016
19,0.625,0.175,1.3,,,10839
20,0.625,0.175,1.3,,,10839
